node1_name,node2_name,edge_type,properties,probability
mail_dev,churn2,nil,,0.141716566866267
mail_dev,churn2,tt,,0.00199600798403194
mail_dev,code_dev2,nil,,0.530938123752495
mail_dev,code_dev2,ta,pd;nl,0.211576846307385
mail_dev,code_dev2,at,pd;nl,0.211576846307385
mail_dev,code_dev2,tt,,0.0459081836327345
mail_dev,b_81672,nil,,0.998003992015968
mail_dev,b_81672,ta,dd;nl,0.00199600798403194
mail_dev,churn,ta,pd;nl,0.7624750499002
mail_dev,churn,at,pd;nl,0.189620758483034
mail_dev,churn,nil,,0.0479041916167665
mail_dev,b_167053,nil,,0.996007984031936
mail_dev,b_167053,ta,dd;nl,0.00399201596806387
mail_dev,b_62937,nil,,0.998003992015968
mail_dev,b_62937,ta,dd;nl,0.00199600798403194
mail_dev,b_166303,nil,,0.998003992015968
mail_dev,b_166303,ta,dd;nl,0.00199600798403194
mail_dev,b_166304,nil,,0.998003992015968
mail_dev,b_166304,ta,dd;nl,0.00199600798403194
mail_dev,b_143572,nil,,0.998003992015968
mail_dev,b_143572,ta,dd;nl,0.00199600798403194
mail_dev,b_151791,nil,,0.998003992015968
mail_dev,b_151791,ta,dd;nl,0.00199600798403194
mail_dev,b_140076,nil,,0.998003992015968
mail_dev,b_140076,ta,dd;nl,0.00199600798403194
mail_dev,b_143567,nil,,0.998003992015968
mail_dev,b_143567,ta,dd;nl,0.00199600798403194
file2,silence2,ta,dd;nl,0.998003992015968
file2,silence2,at,pd;nl,0.00199600798403194
mail_dev,b_122110,nil,,0.998003992015968
mail_dev,b_122110,ta,dd;nl,0.00199600798403194
file2,nv-churn2,nil,,0.998003992015968
file2,nv-churn2,ta,dd;nl,0.00199600798403194
file2,nv-silence,nil,,0.940119760479042
file2,nv-silence,ta,dd;nl,0.0598802395209581
file2,b_191549,nil,,0.994011976047904
file2,b_191549,ta,dd;nl,0.00598802395209581
file2,churn,nil,,0.471057884231537
file2,churn,ta,dd;nl,0.287425149700599
file2,churn,at,pd;nl,0.241516966067864
file2,b_180739,nil,,0.994011976047904
file2,b_180739,ta,dd;nl,0.00598802395209581
file2,b_191547,nil,,0.998003992015968
file2,b_191547,ta,dd;nl,0.00199600798403194
file2,b_180732,nil,,0.996007984031936
file2,b_180732,ta,dd;nl,0.00399201596806387
file2,b_180735,nil,,0.996007984031936
file2,b_180735,ta,dd;nl,0.00399201596806387
file2,b_162180,nil,,0.996007984031936
file2,b_162180,ta,dd;nl,0.00399201596806387
file2,b_173733,nil,,0.996007984031936
file2,b_173733,ta,dd;nl,0.00399201596806387
file2,b_151789,nil,,0.998003992015968
file2,b_151789,ta,dd;nl,0.00199600798403194
file2,b_162107,nil,,0.996007984031936
file2,b_162107,ta,pd;nl,0.00399201596806387
file2,b_150285,nil,,0.998003992015968
file2,b_150285,ta,dd;nl,0.00199600798403194
file2,b_150287,nil,,0.998003992015968
file2,b_150287,ta,dd;nl,0.00199600798403194
file2,b_143506,nil,,0.998003992015968
file2,b_143506,ta,dd;nl,0.00199600798403194
file2,b_143510,nil,,0.998003992015968
file2,b_143510,ta,dd;nl,0.00199600798403194
file2,b_140160,nil,,0.998003992015968
file2,b_140160,ta,dd;nl,0.00199600798403194
file2,b_140221,nil,,0.998003992015968
file2,b_140221,ta,dd;nl,0.00199600798403194
file,commit2,nil,,0.768463073852295
file,commit2,ta,pd;nl,0.157684630738523
file,commit2,at,pd;nl,0.0738522954091816
file,file2,ta,pd;nl,0.544910179640719
file,file2,nil,,0.39121756487026
file,file2,at,pd;nl,0.063872255489022
file,churn,ta,pd;nl,0.918163672654691
file,churn,at,dd;nl,0.06187624750499
file,churn,tt,,0.0199600798403194
file,churn2,nil,,0.706586826347305
file,churn2,ta,pd;nl,0.209580838323353
file,churn2,at,pd;pl,0.0838323353293413
file,b_191549,nil,,0.996007984031936
file,b_191549,ta,dd;nl,0.00399201596806387
file,b_201967,nil,,0.994011976047904
file,b_201967,ta,dd;nl,0.00598802395209581
file,b_180739,nil,,0.998003992015968
file,b_180739,ta,dd;nl,0.00199600798403194
file,b_191547,nil,,0.998003992015968
file,b_191547,ta,dd;nl,0.00199600798403194
file,b_180735,nil,,0.994011976047904
file,b_180735,ta,dd;nl,0.00598802395209581
file,b_180737,nil,,0.988023952095808
file,b_180737,ta,dd;nl,0.0119760479041916
file,b_173733,nil,,0.998003992015968
file,b_173733,ta,dd;nl,0.00199600798403194
file,b_180732,nil,,0.994011976047904
file,b_180732,ta,dd;nl,0.00598802395209581
file,b_162181,nil,,0.998003992015968
file,b_162181,ta,dd;nl,0.00199600798403194
file,b_166303,nil,,0.998003992015968
file,b_166303,ta,dd;nl,0.00199600798403194
file,b_162176,nil,,0.996007984031936
file,b_162176,ta,dd;nl,0.00199600798403194
file,b_162176,at,dd;pl,0.00199600798403194
file,b_162107,nil,,0.982035928143713
file,b_162107,at,dd;nl,0.0159680638722555
file,b_162107,ta,pd;pl,0.00199600798403194
file,b_162180,nil,,0.976047904191617
file,b_162180,ta,pd;nl,0.0159680638722555
file,b_162180,at,pd;pl,0.00798403193612774
file,b_150207,nil,,0.998003992015968
file,b_150207,ta,dd;nl,0.00199600798403194
file,b_160705,nil,,0.998003992015968
file,b_160705,ta,dd;nl,0.00199600798403194
file,b_143507,nil,,0.998003992015968
file,b_143507,ta,dd;nl,0.00199600798403194
file,b_143570,nil,,0.998003992015968
file,b_143570,ta,dd;nl,0.00199600798403194
