node1_name,node2_name,endpoint1,endpoint2,bold,highlighted,properties,probability
nv-b_104180,nv-thread2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-churn,b_140076,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-churn,b_140221,TAIL,TAIL,FALSE,FALSE,"",0.0159680638722555
nv-churn,b_122333,TAIL,TAIL,FALSE,FALSE,"",0.0159680638722555
nv-churn,b_122110,TAIL,TAIL,FALSE,FALSE,"",0.0179640718562874
nv-churn,b_143570,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-churn,b_150285,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-churn,b_143506,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-churn,b_142970,TAIL,TAIL,FALSE,FALSE,"",0.00998003992015968
nv-churn,b_160799,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-churn,b_162178,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-churn,b_151791,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-churn,b_150288,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-churn,b_191549,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
